id_registro,variable,valor
4228,departamento,SACATEPEQUEZ
4229,departamento,SACATEPEQUEZ
4230,departamento,SACATEPEQUEZ
4231,departamento,SACATEPEQUEZ
4232,departamento,SACATEPEQUEZ
4233,departamento,SACATEPEQUEZ
4234,departamento,SACATEPEQUEZ
4235,departamento,SACATEPEQUEZ
4236,departamento,SACATEPEQUEZ
4237,departamento,SACATEPEQUEZ
4238,departamento,SACATEPEQUEZ
4239,departamento,SACATEPEQUEZ
4240,departamento,SACATEPEQUEZ
4241,departamento,SACATEPEQUEZ
4242,departamento,SACATEPEQUEZ
4243,departamento,SACATEPEQUEZ
4244,departamento,SACATEPEQUEZ
4245,departamento,SACATEPEQUEZ
4246,departamento,SACATEPEQUEZ
4247,departamento,SACATEPEQUEZ
4248,departamento,SACATEPEQUEZ
4249,departamento,SACATEPEQUEZ
4250,departamento,SACATEPEQUEZ
4251,departamento,SACATEPEQUEZ
4252,departamento,SACATEPEQUEZ
4253,departamento,SACATEPEQUEZ
4254,departamento,SACATEPEQUEZ
4255,departamento,SACATEPEQUEZ
4256,departamento,SACATEPEQUEZ
4257,departamento,SACATEPEQUEZ
4258,departamento,SACATEPEQUEZ
4259,departamento,SACATEPEQUEZ
4260,departamento,SACATEPEQUEZ
4261,departamento,SACATEPEQUEZ
4262,departamento,SACATEPEQUEZ
4263,departamento,SACATEPEQUEZ
4264,departamento,SACATEPEQUEZ
4265,departamento,SACATEPEQUEZ
4266,departamento,SACATEPEQUEZ
4267,departamento,SACATEPEQUEZ
4268,departamento,SACATEPEQUEZ
4269,departamento,SACATEPEQUEZ
4270,departamento,SACATEPEQUEZ
4271,departamento,SACATEPEQUEZ
4272,departamento,SACATEPEQUEZ
4273,departamento,SACATEPEQUEZ
4274,departamento,SACATEPEQUEZ
4275,departamento,SACATEPEQUEZ
4276,departamento,SACATEPEQUEZ
4277,departamento,SACATEPEQUEZ
4278,departamento,SACATEPEQUEZ
4279,departamento,SACATEPEQUEZ
4280,departamento,SACATEPEQUEZ
4281,departamento,SACATEPEQUEZ
4282,departamento,SACATEPEQUEZ
4283,departamento,SACATEPEQUEZ
4284,departamento,SACATEPEQUEZ
4285,departamento,SACATEPEQUEZ
4286,departamento,SACATEPEQUEZ
4287,departamento,SACATEPEQUEZ
4288,departamento,SACATEPEQUEZ
4289,departamento,SACATEPEQUEZ
4290,departamento,SACATEPEQUEZ
4291,departamento,SACATEPEQUEZ
4292,departamento,SACATEPEQUEZ
4293,departamento,SACATEPEQUEZ
4294,departamento,SACATEPEQUEZ
4295,departamento,SACATEPEQUEZ
4296,departamento,SACATEPEQUEZ
4297,departamento,SACATEPEQUEZ
4298,departamento,SACATEPEQUEZ
4299,departamento,SACATEPEQUEZ
4300,departamento,SACATEPEQUEZ
4301,departamento,SACATEPEQUEZ
4302,departamento,SACATEPEQUEZ
4303,departamento,SACATEPEQUEZ
4304,departamento,SACATEPEQUEZ
4305,departamento,SACATEPEQUEZ
4306,departamento,SACATEPEQUEZ
4307,departamento,SACATEPEQUEZ
4308,departamento,SACATEPEQUEZ
4309,departamento,SACATEPEQUEZ
4310,departamento,SACATEPEQUEZ
4311,departamento,SACATEPEQUEZ
4312,departamento,SACATEPEQUEZ
4313,departamento,SACATEPEQUEZ
4314,departamento,SACATEPEQUEZ
4315,departamento,SACATEPEQUEZ
4316,departamento,SACATEPEQUEZ
4317,departamento,SACATEPEQUEZ
4318,departamento,SACATEPEQUEZ
4319,departamento,SACATEPEQUEZ
4320,departamento,SACATEPEQUEZ
4321,departamento,SACATEPEQUEZ
4322,departamento,SACATEPEQUEZ
4323,departamento,SACATEPEQUEZ
4324,departamento,SACATEPEQUEZ
4325,departamento,SACATEPEQUEZ
4326,departamento,SACATEPEQUEZ
4327,departamento,SACATEPEQUEZ
4328,departamento,SACATEPEQUEZ
4329,departamento,SACATEPEQUEZ
4330,departamento,SACATEPEQUEZ
4331,departamento,SACATEPEQUEZ
4332,departamento,SACATEPEQUEZ
4333,departamento,SACATEPEQUEZ
4334,departamento,SACATEPEQUEZ
4335,departamento,SACATEPEQUEZ
4336,departamento,SACATEPEQUEZ
4337,departamento,SACATEPEQUEZ
4338,departamento,SACATEPEQUEZ
4339,departamento,SACATEPEQUEZ
4340,departamento,SACATEPEQUEZ
4341,departamento,SACATEPEQUEZ
4342,departamento,SACATEPEQUEZ
4343,departamento,SACATEPEQUEZ
4344,departamento,SACATEPEQUEZ
4345,departamento,SACATEPEQUEZ
4346,departamento,SACATEPEQUEZ
4347,departamento,SACATEPEQUEZ
