id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
5172,5191,05-01-0374-46,05-01-0425-46,"INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ""ALMA LIBERTAD PÉREZ MARTÍNEZ""","INSTITUTO MIXTO PARTICULAR DE EDUCACIÓN BÁSICA Y DIVERSIFICADA ""ALMA LIBERTAD PÉREZ MARTÍNEZ"".",DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),99.5,
10636,10639,18-01-2823-46,18-01-2830-46,COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION, CEIF COMP",DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,99.4,
4107,4108,02-03-0002-46,02-03-0003-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""",VESPERTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),99.4,
4108,4116,02-03-0003-46,02-03-0055-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",MATUTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,99.4,
4108,4109,02-03-0003-46,02-03-0004-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""","COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",MATUTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,99.4,
10589,10639,18-01-0420-46,18-01-2830-46,COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION, CEIF COMP",SIN JORNADA,DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),FIN DE SEMANA,99.4,
10174,10180,17-05-0284-46,17-05-0299-46,"COLEGIO DE EDUCACION INTEGRAL CON ORIENTACION UNIVERSITARIA ""EL PODER DEL SABER""","COLEGIO DE EDUCACION INTEGRAL CON ORIENTACION UNIVERSITARIA, ""EL PODER DEL SABER""",DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,99.4,
4375,4404,03-02-0023-46,03-02-1232-46,COLEGIO MIXTO LICEO CLASICO KENNEDY ANEXO AL COLEGIO MIXTO LICEO LATINO,COLEGIO MIXTO LICEO CLASICO KENNEDY ANEXO A COLEGIO MIXTO LICEO LATINO,DOBLE,MATUTINA,FIN DE SEMANA,SABATINO,99.3,
2439,2441,01-08-0009-46,01-08-0013-46,INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,INSTIITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,99.3,
2440,2441,01-08-0010-46,01-08-0013-46,INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,INSTIITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,NOCTURNA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,99.3,
